review,target
"b'I caught this film at the Edinburgh Film Festival. I hadn\'t heard much about it; only that it was a tightly-paced thriller, shot digitally on a very low budget. I was hoping to catch the next big Brit-Flick. But I have to say, I was severely disappointed. ""This Is Not A Love Song"" follows two criminals, who, after accidentally shooting and killing a farmer\'s young daughter, become embroiled in a deadly game of cat and mouse when the locals decide to take matters into their own hands and hunt them down.<br /><br />The real problem is that this is yet another example of style over substance in a British film. The camera angles and editing are completely at odds with the story, as are the over the top performances, and the appalling use of slow motion, which only serves to make the whole thing look like an expensive home video. There are repeated attempts to make the film look edgy and gritty, which instead come over as hilarious and over the top(Cue a pathetic, obligatory drug scene, and countless, pointless camera zooms). No amount of cliche\'s such as this can disguise the fact that this is a pretty bad story.<br /><br />We\'ve seen this kind of thing many times before, and made a hundred times better, particularly in John Boorman\'s masterful ""Deliverance."" But while in the latter film, we actually cared about the characters, in this film, I found myself just wanting them to be hunted down and killed as quickly as possible. Even this wouldn\'t have been so bad if their adversaries had been frightening or worthwhile, but instead, are merely a collection of stereotypical, inbred-looking countryfolk. Again, another offensive, overused cliche\' coming to the fore. Surely there are some nice people in the country, filmmakers?<br /><br />In its defense, ""This Is Not A Love Song"" does contain a couple of good, suspenseful moments, but it\'s hard to see this film doing anything other than going straight to video, or, at a push, getting a very limited cinema release. It\'s not a patch on last year\'s Low-Budget hunted in the hills movie, ""Dog soldiers"". Maybe British Cinema could actually get kick-started again if the right money stopped going to the wrong people.'",0
"b""Based upon the recommendation of a friend, my wife and I invited another couple to this film. I really apologized to them--all 4 of us hated it and spent the whole time looking at our watches waiting for the film to finally end. Half the vignettes are bizarre, with very little entertainment value. There were few scenes of Paris--for example, I was looking forward to seeing some pictures of the Latin Quarter, but I couldn't really recognize anything. Most of the scene was inside a bar. No one in the theater laughed at anything, or reacted in any way. If you like bizarre, pretentious, pseudo-intellectual films, don't miss this. If you are down to earth like me, you will be sorry you saw it.""",0
"b'This is not an entirely bad movie. The plot (new house built next door seems to be haunted) is not bad, the mood is creepy enough, and the acting is okay. The big problem I had is that, being familiar with Lara Flynn Boyle (from Twin Peaks and other shows), I couldn\'t get over how different she looks with her apparently new, big lips. I kept staring at them. They look so out of place on her face! They make her look completely different (and not better).<br /><br />Mark-Paul Gosselaar, the actor who plays Kim the architect who designs and pours his heart and soul into the house, does a fine job. And Lara (as Col) is also quite good (but those lips!) as the owner of the house next door. Her husband, Walker (Colin Ferguson) is appropriately wooden. The various characters who live in the house were also fine. I particularly liked Pie (Charlotte Sullivan) and her husband, Buddy (Stephen Amell), the first people to move into the house. The attempt to involve us in the overall neighborhood vibe fails, unfortunately, as the other neighbors are not particularly likable.<br /><br />For some reason the director was unable to make the ""haunted"" house particularly ominous. Other movies (such as Amityville Horror, The Legend of Hell House) manage to achieve that spooky feel, but it just doesn\'t happen here. The closest is when Col paints a depiction of the house.<br /><br />Another thing that didn\'t work for me is the plot twist that occurs with Kim, the architect. Initially, he appears to be a victim of the house like the others (it has sucked him dry of inspiration), but later he seems to have joined forces with it in evil.<br /><br />Overall, not a bad movie for horror fans if you can take your eyes off those big lips!'",0
"b""I must confess to not having read the original M R James story although I have read many of his other supernatural tales. I've also seen most of the previous BBC Christmas Ghost Stories and this one, in my opinion, surpasses most of them, only equalling The Signalman.<br /><br />I can't really fault A View From a Hill - the direction and 'mood' is perfect, as is the acting, lighting and, of course, the story and writing. I thoroughly enjoyed this and can only hope for more of this quality from the same director and production team. I understand that the BBC plan to make some more (not necessarily based on M R James stories) so that's promising.<br /><br />10/10""",1
"b""as the title of this post says, the section above that says 'the plot synopsis is empty' basically covers it. and inasmuch as the section above that says 'the plot synopsis is empty' basically covers it, it seems absurd to need ten whole lines of text just to be able to convey the only necessary information, that the section above that says 'the plot synopsis is empty' basically covers it. nonetheless these are the rules, like the rules of brainless boardroom production writers who come up with this kind of empty, synopsis-less drivel. it's fair to say the section above that says 'the plot synopsis is empty' basically covers it, so i will: the section above that says 'the plot synopsis is empty' basically covers it. pardon the spoiler.""",2
"b'As it was already put, the best version ever of Homer\'s epic. Entirely shot in natural locations in the Mediterranean. The sea and the sky are strikingly blue, the islands green and untouched. The clothing is linen, wool and fur, the settings stony and bare, everything is somewhat rugged and primitive, a bit what you would find in Cacoyannis or Pasolini movies, and it makes it all the more authentic. Although the story is based on myths and widely goes into supernatural, it gives us a good idea of what life in the 10th century BC might have been like.<br /><br />The rhythm is somewhat slow and austere, but the whole is so beautiful that you quickly get into it. Actually, it is amazingly close to the original plot by Homer, if not to the text itself. Ulysses doesn\'t appear until the first hour, the start being centered on his son looking after him. Then he suddenly appears lost in a storm, lands on the island of the Pheacians where the royal family takes good care of him. His adventures are told in flashback as a narration to his hosts : the terrifying Cyclop, the magic world of Circe, the Underworld, the Sirens etc. He finally comes back to his homeland Ithaca after 20 years, and it all ends dramatically with the killing of the pretenders of his faithful spouse Penelope.<br /><br />As a story, the Odyssey is an unparalleled metaphor of the struggles of a man\'s life. The cast is brilliant and international here. Irene Papas gives us a typical Greek tragedy style performance as Penelope, but most amazing is the Albanian actor Bekim Fehmiu as Ulysses. Really good looking and totally convincing, it seems the role was really made for him. Strange that he was never offered roles of this dimension afterwards. Also playing Nausicaa is Barbara Bach (as Barbara Gregorini) later famous as the James Bond girl in ""The Spy Who Loved Me"", and playing Athena is Michele Breton, who was otherwise noted in the strange movie called ""Performance"" with Mick Jagger.<br /><br />As it was done 35 years ago, the series was actually quite an innovation for its time, as the first big European co-production for TV (Italy, France, Germany and Yugoslavia). I have seen this mini-series in 8 parts on French television as far back as 1974. I was a kid back then, and although it was all in black and white, it left a very vivid impression. All my life long I wondered if I would ever get a chance to see it again, as it was never shown on French TV later on.<br /><br />I recently found a copy on DVD (all in wonderful color) through Internet. It is unfortunately only in Italian with no subtitles, although French and German versions existed back then. I never heard there was any English version of this film as it is widely unknown in the Anglo Saxon world, and it\'s quite a shame. If you ever get a chance to watch this, you are not going to forget it ever.<br /><br />There were not many versions of the Odyssey before or after that. The one by Camerini in 1955 starring Kirk Douglas is a classic sword-and-sandal like ""the 10 Commandments"", but not as impressive and very short for such a complex story. The one in 1997 by Konchalovsky is a meretricious Hollywood movie, based on special effects, sometimes quite gory, very poorly acted and grossly afar from Homer\'s story and atmosphere.'",1
"b""This movie starts out hilarious from about the 15 second mark, and continues it throughout the movie. I cannot recall a scene where i didn't turn to look at people laughing with me. he is the perfect actor for this roll because of the way he looks and the way he dressed.<br /><br />The comedic parts were great to see from actors not very big or popular. As you can see people do like this movie it is currently rated 7.9 on IMDb. i think it should be in 250. Lets put it this way i haven't seen this funny of a movie since American pie or the original vacation. see it if you want a laugh. I give this movie 2 of the highest thumbs up i have ever given since i found out about IMDb, great movie site.""",1
"b'As a film, Fearless Freaks is too long. Fans of the band probably won\'t care, though, as they seem willing to venture however far off the beaten path Wayne and the boys want to go. I wouldn\'t recommend it to the casual viewer, as it contains way too many scenes of the band\'s personal lives to be interesting to the general public. <br /><br />I enjoyed it a lot, because it gives lots of insider info on a band that I\'ve loved for over fifteen years. The most interesting part, and the one that most people will cite as the film\'s centerpiece, concerns Steven Drozd\'s frank discussion about his heroin addiction. The scene is as chilling as anything you\'ve ever seen, watching Steven cook up a rig full of smack has to be the wildest thing I\'ve seen in a film in years. <br /><br />There isn\'t enough concert footage here, but two recent (excellent) shows are featured, Coachella 2004 and the Stubb\'s show in Austin, TX. I would have enjoyed more scenes of that classic show in Austin TX, mainly because I was there, in the front, and it was the most fun I\'ve ever had at a concert in my life. Their Coachella set (I was there, too) was way too short, mostly consisting of Wayne trying to surf the crowd in a huge bubble (which was totally cool). I think they played four songs before they were rushed off so the Cure could take forever to come on. blah.<br /><br />The thing I enjoyed most about this film was the insight it gives on what it\'s like to be a ""rock star"". Wayne and his wife don\'t live in a mansion, and their lives seem wonderfully normal. This was refreshing, and it certainly beats the hell out of watching Metallica argue for two hours. <br /><br />The Flaming Lips have arguably one of the finest albums ever made, The Soft Bulletin (if you can find the vinyl version, get it no matter how much you got to spend). While I don\'t think this film will open them up to a wider audience, fans of the band won\'t be disappointed.'",2
"b'The film of Artemisia may be considered treason, or as true artistic license. <br /><br />Which might one aver?<br /><br />In documented history, Artemisia Gentileschi was subjected to the thumbscrew, and still affirmed that she was r***ed, as Mary Garrard and Gloria Steinem have eloquently affirmed.<br /><br />In the movie, under a different torture, she refused to condemn her lover/violator.<br /><br />How may a movie deviate so much from received history, yet still inform the human heart?<br /><br />The answer is not so hard to find. In the movie, the director and cast had filled a gaping hole in the historical record, with the power of imagination.<br /><br />That led to a conclusion that differs from the record.<br /><br />So be it. I find _both_ the record and the movie to be compelling.<br /><br />In both the movie and (it seems) in history, Artemisia was a painter, before all else.<br /><br />For that vision, framed in ravishing (sic) film composition, I am truly grateful.<br /><br />Seldom have I seen a movie that so compelled my eyes.<br /><br />David Broadhurst'",1
"b'When I first saw a glimpse of this movie, I quickly noticed the actress who was playing the role of Lucille Ball. Rachel York\'s portrayal of Lucy is absolutely awful. Lucille Ball was an astounding comedian with incredible talent. To think about a legend like Lucille Ball being portrayed the way she was in the movie is horrendous. I cannot believe out of all the actresses in the world who could play a much better Lucy, the producers decided to get Rachel York. She might be a good actress in other roles but to play the role of Lucille Ball is tough. It is pretty hard to find someone who could resemble Lucille Ball, but they could at least find someone a bit similar in looks and talent. If you noticed York\'s portrayal of Lucy in episodes of I Love Lucy like the chocolate factory or vitavetavegamin, nothing is similar in any way-her expression, voice, or movement.<br /><br />To top it all off, Danny Pino playing Desi Arnaz is horrible. Pino does not qualify to play as Ricky. He\'s small and skinny, his accent is unreal, and once again, his acting is unbelievable. Although Fred and Ethel were not similar either, they were not as bad as the characters of Lucy and Ricky.<br /><br />Overall, extremely horrible casting and the story is badly told. If people want to understand the real life situation of Lucille Ball, I suggest watching A&E Biography of Lucy and Desi, read the book from Lucille Ball herself, or PBS\' American Masters: Finding Lucy. If you want to see a docudrama, ""Before the Laughter"" would be a better choice. The casting of Lucille Ball and Desi Arnaz in ""Before the Laughter"" is much better compared to this. At least, a similar aspect is shown rather than nothing.'",0
